state,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016
Alabama,137143,141672,146666,148188,148824,152630,156970,166286,171723,174675,175332,174459,168315,171861,173760,175420,177049,176559,179161,181897
Alaska,37880,36889,36617,35909,37102,38605,38262,39648,40767,43455,45735,46422,50463,49671,51004,53719,51361,49498,49649,46975
Arizona,163114,177319,192410,202215,206560,212195,224650,232105,251185,265798,272417,262521,242509,243101,247414,252545,253743,258384,263475,270205
Arkansas,79164,80136,84533,85271,85283,87979,91767,96064,99144,101028,100287,100485,98020,101309,103312,103170,106112,107621,108209,109144
California,1343127,1421713,1525588,1638988,1627983,1669677,1745049,1832792,1910337,1975457,1999340,1993244,1912115,1936487,1962926,2013611,2064534,2150580,2245876,2320345
Colorado,175029,192216,207243,222942,226211,228429,229800,229129,238417,243172,250252,252558,247270,248667,252256,257622,265880,278523,288015,291251
Connecticut,183342,189859,195476,209329,212395,211789,214003,227364,231573,237280,247248,243856,233562,232357,228454,228212,224931,223311,227502,227592
Delaware,43065,47120,51765,54253,56618,54701,55588,57741,57069,58308,57835,55273,57350,56541,57919,57013,56189,59245,60908,60984
Florida,537176,569488,597492,623599,645193,671816,696876,726845,773024,797997,799113,764086,721755,727658,723317,729372,744576,765249,795408,814309
Georgia,314114,336066,359468,373907,378479,380923,391928,408639,424964,430438,433595,420483,404575,408248,413457,418312,424360,438440,451827,465411
Hawaii,53108,51723,52524,53710,53669,55358,58100,61606,64824,66313,67421,67721,65382,67403,67971,68913,69676,70415,72675,74026
Idaho,35356,37144,40719,45286,44073,45087,46401,48247,51266,54240,55810,56296,53882,54389,54288,54411,56014,57341,59068,60687
Illinois,553662,568418,589098,611079,610054,612721,621458,635518,646092,663632,671051,655275,638032,645983,658411,671493,669261,681546,689832,696459
Indiana,222040,235591,243138,251015,245953,252205,260871,268914,268886,274074,281626,279574,262068,279068,280588,281540,288157,295364,297657,304966
Iowa,107893,108526,110785,116421,114313,117579,122580,131746,135042,136928,142475,140017,137069,139979,142603,147665,148419,154052,160175,162729
Kansas,98817,102346,105007,107539,107398,109000,111492,111419,114578,120445,126143,129313,123986,126485,130493,131320,131536,134151,135621,134367
Kentucky,139389,143394,148051,143791,144407,147894,151226,155326,159800,163941,162430,162481,156319,163417,165712,166852,168306,169171,170832,172821
Louisiana,180085,184356,188210,181910,184946,187788,195646,203511,215120,211535,205120,206601,210879,220884,209151,209373,202289,206611,207783,208105
Maine,41367,42674,44718,46618,47564,48708,49825,51351,51381,52002,51683,51236,50405,50921,50180,50106,49810,50641,51070,51869
Maryland,216432,224832,233863,242282,251494,259585,266410,280380,290581,296547,297630,300601,300929,310702,316774,318146,318888,322879,329175,337345
Massachusetts,293755,305814,322102,348183,352601,354450,362104,369983,376358,382718,392035,392817,385698,399239,408409,415832,415030,422350,438208,444680
Michigan,386554,392288,413344,420241,408463,419731,427565,426182,431383,423582,419302,396515,363146,382885,392653,400063,405793,412155,424257,433521
Minnesota,203067,212772,220566,234732,235075,240628,251512,260777,267476,266429,267393,268824,258166,266346,272105,275859,281759,289587,294044,300362
Mississippi,78492,80537,82752,83074,82326,83061,86448,88142,89539,91544,93828,97655,93669,94124,92821,94880,95465,94599,94762,95944
Missouri,217476,222481,228321,235057,233240,235058,240041,245100,247860,250021,250581,255426,250436,253059,250034,252620,256738,257488,261247,262026
Montana,26682,27924,28177,28830,29269,29949,31128,32429,33957,35030,36720,36749,36079,37380,38458,38737,39026,40070,40999,41453
Nebraska,66393,67545,68999,71571,72624,73878,78072,79575,81139,83415,84714,85813,86961,90713,94619,93957,96352,99891,101996,102888
Nevada,84794,89089,95801,100143,102262,105404,110803,122731,133258,138235,137385,130787,120202,120537,121118,119411,120027,122010,126318,128059
New Hampshire,47050,50072,51534,55125,55920,57503,59667,61244,62791,63924,63814,62956,62205,63721,63952,64278,64641,65831,67544,68623
New Jersey,408007,417249,431110,452735,458601,469048,480793,485791,491152,499482,502104,503365,482143,484410,480101,489453,496128,496920,502536,505941
New Mexico,64422,63999,67614,68793,69448,71283,74311,79119,79596,80852,80984,82853,82838,83203,83457,83547,82696,85016,86353,86486
New York,915016,938989,988849,1022817,1056708,1053325,1049993,1078573,1119304,1145537,1148293,1124539,1148407,1188749,1194300,1231862,1228488,1249602,1275126,1279691
North Carolina,301144,315199,332374,340989,348010,353393,361078,375195,392112,413835,414323,424200,407846,412377,417143,415761,422644,431566,443278,451639
North Dakota,20651,21676,21718,22514,22967,24182,25689,25852,26666,27771,28976,31812,32489,35200,39117,47816,48981,52522,51186,48612
Ohio,446980,466789,476231,484975,477602,488461,496785,508865,512223,511281,510613,501477,479526,492419,510190,518583,523587,541014,547136,553224
Oklahoma,109918,111739,113580,117500,121910,123221,125407,129144,133649,141576,144343,146936,143648,144003,151302,159785,166762,176092,181486,174033
Oregon,112239,118195,120662,130992,128873,132346,137886,150617,153771,167952,173109,182813,181022,190371,198298,192598,188806,192330,201467,209035
Pennsylvania,473943,488899,503011,514175,522191,527231,538948,553326,560689,563253,582088,591039,573964,589684,597346,607172,617053,629469,644159,647708
Rhode Island,38989,40360,41651,43476,44388,45881,47809,49763,50380,51304,49838,48262,47709,48803,48424,48631,48815,49269,50184,50433
South Carolina,131498,136129,142007,145153,145941,149281,154734,156328,159689,162660,167649,166820,160439,162840,166389,166858,170217,175277,180703,183933
South Dakota,22910,24204,25195,26909,27535,30448,31244,32392,33162,33533,34845,36373,36687,37228,39548,39189,39601,39963,41089,41375
Tennessee,202976,213093,219514,221830,222160,229019,236620,246938,250834,256809,254269,255826,246541,250261,257138,265211,269453,274060,282287,290580
Texas,816575,866952,900960,930610,954786,968721,976634,1023202,1047014,1111803,1166680,1173697,1166516,1197006,1240117,1310522,1377100,1424694,1484881,1480304
Utah,75322,80085,83918,86850,88719,90119,92268,96277,102382,111133,117659,115509,113194,115177,118254,119739,122685,126926,132109,136979
Vermont,19545,20122,21216,22326,23031,23719,24644,25519,25835,26008,25857,26067,25527,26398,27027,26963,26913,27036,27279,27472
Virginia,294126,308784,323570,336195,346918,349495,362386,376770,396319,405682,408148,407227,407302,416903,419724,422269,422275,423182,432332,434409
Washington,259637,275275,295582,295895,289754,295688,300010,305266,325105,337015,357635,360521,348465,355228,358185,368474,377393,389372,403888,420712
West Virginia,55382,56244,58355,58084,58120,58687,58711,59692,61219,62165,62160,63821,63866,65581,66935,65925,66261,66655,67126,66367
Wisconsin,203610,210292,218921,225228,227508,232477,238716,245125,250305,253867,255091,251711,244995,251086,256396,259863,263282,267318,272968,276415
Wyoming,22801,23387,24284,25118,26542,26961,27655,28433,29637,33152,35019,37776,37129,36469,36326,35054,35410,35544,35768,35133
